user_id,R,F,M,Cluster,Segment,Strategy
AA-10315,649,5,4433.032,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AA-10375,30,9,407.118,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AA-10480,1347,1,27.46,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AA-10645,215,12,2008.705,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AB-10015,427,5,873.5319999999999,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AB-10060,160,12,7354.214,2,高价值核心用户,"提供VIP服务, 新品优先体验, 定制化关怀"
AB-10105,220,9,1299.154,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AB-10150,247,7,812.462,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AB-10165,214,3,86.48,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AB-10255,309,5,121.582,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AB-10600,62,5,1475.054,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AC-10420,7,4,868.2239999999999,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AC-10450,277,3,1864.192,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AC-10615,306,12,2255.868,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AD-10180,334,3,932.0699999999999,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AF-10870,555,3,37.163999999999994,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AF-10885,427,5,489.905,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AG-10300,278,2,87.89999999999999,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AG-10330,61,4,357.62,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AG-10390,156,3,38.864000000000004,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AG-10495,761,3,734.398,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AG-10525,886,9,1455.038,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AG-10675,97,8,2943.4796000000006,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AG-10765,822,2,123.83999999999999,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AG-10900,278,8,2246.513,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AH-10120,130,4,609.5020000000001,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AH-10195,215,3,148.97,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AH-10210,131,7,2634.388,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AH-10465,311,5,1843.8816,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AH-10585,91,2,255.22400000000002,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AH-10690,552,15,2124.31,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AI-10855,30,12,1745.598,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AJ-10780,1168,2,54.83,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AJ-10795,368,7,1414.964,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AJ-10945,1071,5,793.926,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AM-10360,303,6,194.25,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AM-10705,252,1,383.84,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AP-10720,490,5,349.77,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AP-10915,278,13,1494.008,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AR-10345,64,3,279.966,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AR-10405,1373,2,265.784,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AR-10510,1406,1,26.136,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AR-10540,768,2,692.728,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AR-10825,304,6,1385.01,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AS-10045,247,7,2475.846,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AS-10090,303,12,1286.966,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AS-10225,122,3,261.88,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AS-10240,1128,1,7.64,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AS-10285,30,4,3029.12,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AS-10630,1008,4,410.976,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AT-10435,91,5,1111.052,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AT-10735,158,5,304.628,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AW-10840,61,5,606.232,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
AW-10930,371,8,551.544,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
AY-10555,1287,4,199.99,3,低价值或流失客户,"维持基本服务, 减少营销投入"
AZ-10750,589,5,955.5959999999999,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BB-10990,340,5,453.26,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BB-11545,4,10,4708.908,2,高价值核心用户,"提供VIP服务, 新品优先体验, 定制化关怀"
BC-11125,36,10,1496.618,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
BD-11320,8,6,250.32600000000002,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BD-11500,1440,1,468.9,3,低价值或流失客户,"维持基本服务, 减少营销投入"
BD-11605,373,8,656.63,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
BD-11620,496,3,309.408,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BD-11635,944,4,511.646,3,低价值或流失客户,"维持基本服务, 减少营销投入"
BD-11725,279,4,541.62,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BD-11770,193,9,653.698,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
BE-11335,306,3,3480.96,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BE-11410,528,1,30.352,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BE-11455,555,9,722.126,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
BF-10975,918,7,226.174,3,低价值或流失客户,"维持基本服务, 减少营销投入"
BF-11005,586,2,252.148,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BF-11020,125,17,1755.834,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
BF-11080,3,5,258.28,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BF-11170,192,4,530.642,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BF-11215,462,2,749.46,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BF-11275,66,2,403.28599999999994,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BG-11035,303,4,230.44400000000002,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BG-11695,955,4,126.078,3,低价值或流失客户,"维持基本服务, 减少营销投入"
BG-11740,276,2,497.152,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BH-11710,153,17,6011.232,2,高价值核心用户,"提供VIP服务, 新品优先体验, 定制化关怀"
BK-11260,396,10,485.13,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
BM-11140,609,15,11432.84,2,高价值核心用户,"提供VIP服务, 新品优先体验, 定制化关怀"
BM-11575,679,2,405.91999999999996,3,低价值或流失客户,"维持基本服务, 减少营销投入"
BM-11650,92,10,3774.973,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
BM-11785,1007,6,628.848,3,低价值或流失客户,"维持基本服务, 减少营销投入"
BN-11470,183,4,203.10399999999998,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BN-11515,337,1,114.9,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BO-11350,282,10,2590.76,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
BO-11425,794,1,6.08,3,低价值或流失客户,"维持基本服务, 减少营销投入"
BP-11050,124,2,65.0,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BP-11095,1189,4,137.32999999999998,3,低价值或流失客户,"维持基本服务, 减少营销投入"
BP-11155,66,4,1177.91,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BP-11185,61,11,1090.376,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
BP-11290,102,4,1184.266,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BS-11365,1347,2,69.86,3,低价值或流失客户,"维持基本服务, 减少营销投入"
BS-11380,9,9,2748.916,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
BS-11590,916,4,1627.3619999999999,3,低价值或流失客户,"维持基本服务, 减少营销投入"
BS-11755,69,5,573.792,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BS-11800,99,6,760.8,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BT-11305,916,3,211.816,3,低价值或流失客户,"维持基本服务, 减少营销投入"
BT-11395,284,1,399.672,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BT-11440,1346,4,440.04799999999994,3,低价值或流失客户,"维持基本服务, 减少营销投入"
BT-11485,404,1,30.336,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BT-11680,61,15,2048.326,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
BW-11065,340,2,370.896,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BW-11110,164,3,3174.514,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
BW-11200,67,4,920.3520000000001,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CA-11965,952,1,892.224,3,低价值或流失客户,"维持基本服务, 减少营销投入"
CA-12055,491,6,1106.044,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CA-12265,245,7,902.076,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
CA-12310,91,5,471.424,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CA-12775,7,9,982.562,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
CB-12025,33,8,807.6600000000001,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
CB-12415,244,8,297.45799999999997,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
CB-12535,223,11,1107.342,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
CC-12100,523,4,85.209,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CC-12145,491,3,109.596,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CC-12220,61,12,2285.072,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
CC-12370,184,4,3138.116,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CC-12430,184,8,820.1800000000001,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
CC-12475,33,9,1390.4140000000002,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
CC-12550,275,3,65.856,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CC-12610,428,4,368.394,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CC-12670,334,5,416.27000000000004,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CC-12685,832,4,364.07,3,低价值或流失客户,"维持基本服务, 减少营销投入"
CD-11980,184,1,318.96,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CD-12280,215,8,796.036,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
CD-12790,1409,1,12.35,3,低价值或流失客户,"维持基本服务, 减少营销投入"
CG-12040,31,3,97.56,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CG-12520,488,2,993.9000000000001,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CH-12070,497,1,1127.976,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CJ-12010,341,12,9166.278,2,高价值核心用户,"提供VIP服务, 新品优先体验, 定制化关怀"
CK-12205,7,9,487.856,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
CK-12325,337,6,356.548,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CK-12595,374,15,1409.644,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
CK-12760,93,6,932.825,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CL-11890,67,2,56.77199999999999,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CL-12565,494,13,3232.852,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
CM-11815,70,1,111.96,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CM-12115,305,2,386.62,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CM-12160,244,1,5.346,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CM-12190,279,2,194.72400000000002,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CM-12235,369,6,2238.964,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
CM-12385,286,2,2031.3919999999998,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CM-12445,1193,2,30.46,3,低价值或流失客户,"维持基本服务, 减少营销投入"
CM-12655,275,6,3595.608,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
CM-12715,1074,10,3915.9224,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
CP-12085,93,3,414.02,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CP-12340,884,2,1361.6309999999999,3,低价值或流失客户,"维持基本服务, 减少营销投入"
CR-12580,276,2,1872.934,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CR-12625,1436,2,334.68,3,低价值或流失客户,"维持基本服务, 减少营销投入"
CR-12730,371,1,23.12,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CR-12820,185,3,681.9100000000001,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CS-11845,40,3,1061.068,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CS-11860,5,3,509.14399999999995,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CS-11950,160,6,1165.56,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CS-12130,1314,3,472.044,3,低价值或流失客户,"维持基本服务, 减少营销投入"
CS-12175,7,6,755.3480000000001,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CS-12250,124,9,575.4,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
CS-12355,1,8,984.062,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
CS-12400,161,9,2782.0785,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
CS-12460,275,6,550.644,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CS-12490,369,6,956.2805000000001,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CS-12505,304,3,206.62,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CT-11995,250,5,1099.99,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
CV-12295,612,4,387.236,3,低价值或流失客户,"维持基本服务, 减少营销投入"
CV-12805,247,8,1101.3799999999999,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
CW-11905,122,7,785.852,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
CY-12745,643,2,297.672,3,低价值或流失客户,"维持基本服务, 减少营销投入"
Co-12640,1038,2,564.768,3,低价值或流失客户,"维持基本服务, 减少营销投入"
DA-13450,11,3,87.4,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
DB-12910,33,9,1428.301,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
DB-12970,282,7,1036.0812,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
DB-13060,554,2,1171.868,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
DB-13120,1,9,1236.922,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
DB-13210,91,10,1420.7489999999998,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
DB-13270,154,9,4161.652,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
DB-13360,69,2,386.14,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
DB-13405,856,3,601.44,3,低价值或流失客户,"维持基本服务, 减少营销投入"
DB-13555,125,10,2060.0108,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
DB-13615,190,7,1837.67,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
DB-13660,853,1,10.476,3,低价值或流失客户,"维持基本服务, 减少营销投入"
DC-12850,250,3,514.68,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
DC-13285,153,3,431.906,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
DD-13570,310,3,109.62,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
DE-13255,406,4,114.49199999999999,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
DF-13135,1342,2,110.098,3,低价值或流失客户,"维持基本服务, 减少营销投入"
DG-13300,1010,4,534.192,3,低价值或流失客户,"维持基本服务, 减少营销投入"
DH-13075,1074,2,200.73600000000002,3,低价值或流失客户,"维持基本服务, 减少营销投入"
DH-13675,1100,6,457.74399999999997,3,低价值或流失客户,"维持基本服务, 减少营销投入"
DJ-13420,676,5,2012.52,3,低价值或流失客户,"维持基本服务, 减少营销投入"
DJ-13510,1,6,318.24199999999996,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
DK-12835,91,10,1456.71,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
DK-12895,4,11,3589.0480000000002,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
DK-12985,221,4,737.52,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
DK-13090,276,7,1953.962,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
DK-13150,1310,2,433.56,3,低价值或流失客户,"维持基本服务, 减少营销投入"
DK-13225,374,10,2895.678,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
DK-13375,1,8,1226.696,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
DL-12865,675,1,187.056,3,低价值或流失客户,"维持基本服务, 减少营销投入"
DL-12925,276,13,3067.6000000000004,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
DL-13315,122,11,1055.2160000000001,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
DL-13330,276,1,41.37,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
DL-13495,520,1,837.6,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
DM-12955,156,3,195.10399999999998,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
DM-13015,276,8,566.875,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
DM-13345,122,9,3124.442,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
DM-13525,582,10,1376.792,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
DN-13690,1098,3,160.21,3,低价值或流失客户,"维持基本服务, 减少营销投入"
DO-13435,309,5,282.216,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
DO-13645,244,6,682.342,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
DP-13000,253,2,106.01599999999999,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
DP-13105,548,3,1671.08,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
DP-13165,793,4,1058.616,3,低价值或流失客户,"维持基本服务, 减少营销投入"
DP-13390,194,8,401.694,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
DR-12940,34,9,7426.900000000001,2,高价值核心用户,"提供VIP服务, 新品优先体验, 定制化关怀"
DS-13030,252,7,572.707,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
DS-13180,153,6,800.1100000000001,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
DV-13045,30,6,1076.983,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
DV-13465,36,11,2590.737,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
DW-13195,1315,1,4.368,3,低价值或流失客户,"维持基本服务, 减少营销投入"
DW-13480,366,8,4658.538,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
DW-13540,192,3,156.45600000000002,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
DW-13585,310,5,469.63,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
Dl-13600,128,4,695.362,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
Dp-13240,155,17,6221.049,2,高价值核心用户,"提供VIP服务, 新品优先体验, 定制化关怀"
EA-14035,371,10,1473.199,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
EB-13705,1,6,835.16,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
EB-13750,62,12,2438.892,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
EB-13840,336,5,856.4,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
EB-13870,70,6,1160.559,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
EB-13930,1409,2,199.296,3,低价值或流失客户,"维持基本服务, 减少营销投入"
EB-13975,428,4,1608.6309999999999,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
EB-14110,125,4,646.9,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
EB-14170,93,3,27.696,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
EC-14050,154,3,337.22999999999996,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
ED-13885,1035,2,2642.202,3,低价值或流失客户,"维持基本服务, 减少营销投入"
EG-13900,122,7,1578.592,1,潜力增长用户,"发放优惠券, 推荐相关产品, 激励其提高消费频率"
EH-13765,674,6,795.8,3,低价值或流失客户,"维持基本服务, 减少营销投入"
EH-13945,796,3,82.926,3,低价值或流失客户,"维持基本服务, 减少营销投入"
EH-14005,250,5,450.13800000000003,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
EH-14125,495,4,286.686,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
EH-14185,617,1,588.784,3,低价值或流失客户,"维持基本服务, 减少营销投入"
EJ-13720,284,2,1219.7920000000001,0,需要唤醒的客户,"通过邮件/短信进行召回, 提供限时优惠"
